순번,회사명,생산품,업종명,대표주소,전화번호,팩스번호,데이터기준일자,실측점검,품질점검
19,(주)가림씨푸드,"굴비, 샛돔 등",수산동물 건조 및 염장품 제조업,"인천광역시 서구 소담로 55(금곡동, (주)가림씨푸드)",02-2254-8781,02-2254-8783,2021-06-30,,
20,(주)가스디엔에이,항온기,공기 조화장치 제조업,인천광역시 서구 북항로193번길 101 (원창동),032-584-7420,032-584-7424,2021-06-30,,
21,(주)가야,"시멘트벽돌, 블록, 콘크리트PC암거, 레미콘, 아스콘, 비금속광물분쇄물",레미콘 제조업 외 3 종,인천광역시 서구 오류동 0번지 검단일반산업단지 2-12,032-563-9001,032-563-9005,2021-06-30,,b:21:22 회사명 중복
22,(주)가야,재활용 골재,비금속광물 분쇄물 생산업 외 2 종,인천광역시 서구 오류동 0번지 검단일반산업단지내 재활용 시설용지,032-563-9000,032-563-9005,2021-06-30,,
23,(주)가온,인쇄회로기판,경성 인쇄회로기판 제조업 외 2 종,인천광역시 서구 장고개로126번길 17-7 (가좌동),032-584-1148,032-232-3136,2021-06-30,,
24,(주)가온세정,파이프,도금업 외 1 종,인천 서구 가람로 14 요진코아텍 공장동 109호(오류동),032-564-7988,032-564-7987,2021-06-30,m - 대표주소 변경,
25,(주)가온엘이디,LED신호등,일반용 전기 조명장치 제조업 외 1 종,"인천광역시 서구 백범로630번길 16, 9층 910 (가좌동)",032-573-5601,032-573-5602,2021-06-30,,
26,(주)가온엘이디 지점,조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 백범로910번길 49-8, 2층 (가좌동)",032-679-2500,032-679-2501,2021-06-30,㈜유비쿼터스,
27,(주)가온유압,유압기기(유압실린더),유압기기 제조업 외 1 종,인천광역시 서구 중봉대로286번길 25 (석남동),032-205-4604,032-232-0711,2021-06-30,㈜삼덕이화공업,
28,(주)가온프라텍,플라스틱 화장품용기,그 외 기타 플라스틱 제품 제조업,인천광역시 서구 원전로 5 (경서동),032-684-9435,032-684-9436,2021-06-30,,
29,(주)가원조경,조경시설물,표면 가공 목재 및 특정 목적용 제재목 제조업,"인천광역시 서구 세자봉로76번길 1 (금곡동, 공장)",032-565-0456,032-565-0453,2021-06-30,,
30,(주)감휴먼테크,"욕실수납장, 기타 가구제조",그 외 기타 가구 제조업,인천광역시 서구 도곡로 121-4 (대곡동),032-568-7300,032-568-7301,2021-06-30,,
31,(주)강경팩,골판지제조,골판지 제조업 외 1 종,인천광역시 서구 뱃길1로 53 (오류동),032-548-1813,032-549-9452,2021-06-30,,
32,(주)강국,"트렌치, 그레이팅",합성수지 및 기타 플라스틱 물질 제조업,인천광역시 서구 보듬로 158 블루텍 공존326호(오류동),032-624-0599,032-220-5326,2021-06-30,,
33,(주)강남산업,"금속문,방화문","금속 문, 창, 셔터 및 관련제품 제조업",인천광역시 서구 길주로 34 강남프라자 (석남동),032-572-2428,032-574-5121,2021-06-30,m - 대표주소 변경,
34,(주)강성피앤디,주방용품피막처리,도장 및 기타 피막처리업,인천광역시 서구 중봉대로286번길 33 (석남동),032-574-0019,032-581-7155,2021-06-30,,
35,(주)강인파워텍,LED조명기구,일반용 전기 조명장치 제조업 외 1 종,인천광역시 서구 원당대로206번길 18 (오류동),032-564-7866,032-564-7860,2021-06-30,㈜매일엘이디,
36,(주)강촌레일파크,레일바이크,그 외 기타 달리 분류되지 않은 운송장비 제조업 외 1 종,"인천광역시 서구 보듬로 158, 7층 검단지식산업센터 블루텍 740호 (오류동)",033-245-1000,033-262-7882,2021-06-30,?,b:35~36 동일주소
37,(주)거경,"화장품,면봉,화장솜",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,인천광역시 계양구 계수로 6-1 (계산동),032-541-2984,032-541-2986,2021-06-30,m - 대표주소 변경,서구x -> 계양구
38,(주)거둘기업,종이상자,골판지 제조업 외 1 종,인천광역시 서구 사렴로9번길 27 (경서동),032-564-4036,032-565-3036,2021-06-30,,
39,(주)거봉한진,"가스기화기,밸브","탭, 밸브 및 유사장치 제조업 외 2 종",인천광역시 서구 북항로177번길 68 (원창동),032-682-2072,032-682-2075,2021-06-30,,
40,(주)거성씨푸드,연어필렛,기타 수산동물 가공 및 저장 처리업,인천광역시 서구 소담2로 34-2 (금곡동),02-572-7770,02-6053-7695,2021-06-30,m - 대표주소 변경,
41,(주)거성알루미늄,알루미늄가공,그 외 기타 금속가공업 외 1 종,인천광역시 서구 사렴로9번길 41 (경서동),032-816-6019,032-816-6020,2021-06-30,,
42,(주)건승,"가로등주, 가로등",육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 보듬로 158, 2층 검단지식산업센터 블루텍 219호 (오류동)",032-566-6993,031-986-6993,2021-06-30,,
43,(주)건영산업,가공합판,"박판, 합판 및 유사 적층판 제조업","인천광역시 서구 원당대로265번길 39 (오류동, (주)건영산업)",032-566-6451,032-566-6453,2021-06-30,,
44,(주)건우체어,의자,소파 및 기타 내장가구 제조업,인천광역시 서구 가정로77번길 31 (가좌동),032-577-5358,032-576-5358,2021-06-30,,
45,(주)건우피씨비,인쇄회로기판,인쇄회로기판용 적층판 제조업 외 1 종,인천광역시 서구 백범로810번길 26-19 (가좌동),032-573-1339,032-573-1339,2021-06-30,,
46,(주)건일기업,욕실가구,금속 가구 제조업 외 1 종,인천광역시 서구 대곡로89번안길 24-7 (대곡동),055-283-4497,055-901-0337,2021-06-30,?,
47,(주)건풍,소방단자함,배전반 및 전기 자동제어반 제조업,인천광역시 서구 중봉대로 807 (경서동),032-569-6221,032-569-6223,2021-06-30,,
48,(주)건희전자,인쇄회로기판,인쇄회로기판용 적층판 제조업 외 2 종,인천광역시 서구 백범로810번길 30 (가좌동),032-583-7310,032-583-7311,2021-06-30,,
49,(주)검단아스콘,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담3로 9 (오류동),032-719-7000,032-719-7020,2021-06-30,,
50,(주)게임플러스어뮤즈먼트,게임기,영상게임기 제조업,인천광역시 서구 중봉대로376번길 13-1 (원창동),02-803-6620,02-6280-6620,2021-06-30,,
51,(주)경기정밀화학,"폐수처리제, 표면처리제",그 외 기타 분류 안된 화학제품 제조업 외 2 종,인천광역시 서구 보도진로41번길 18 (가좌동),032-442-9600,032-442-9609,2021-06-30,,
52,(주)경덕산업,자동차부품,자동차용 신품 동력전달장치 제조업 외 1 종,"인천광역시 서구 원전로48번길 31 (경서동, 경덕산업)",032-562-4277,032-562-4279,2021-06-30,,
53,(주)경도,목재표면가공,"목재 보존, 방부처리, 도장 및 유사 처리업","인천광역시 서구 이든로 30, 1동 (오류동)",032-569-7793,032-579-4071,2021-06-30,,
54,(주)경신 인천공장,자동차배선 조립,기타 절연선 및 케이블 제조업,인천광역시 서구 가재울로54번길 23,032-580-7232,032-578-5337,2021-06-30,m - 지번 -> 도로명,
55,(주)경신유앤엘,유니폼,"근무복, 작업복 및 유사의복 제조업","인천광역시 서구 건지로86번길 41 (가좌동, 주1동)",032-578-0931,032-578-0934,2021-06-30,,
56,(주)경원목재,"판재,각재",일반 제재업 외 2 종,"인천광역시 서구 봉수대로170번길 21 (가좌동, 나동)",032-583-4213,032-583-4216,2021-06-30,"m - 회사명 변경, 경원-> 경원목재",
57,(주)경은금속,철재케이스,도장 및 기타 피막처리업,인천광역시 서구 가정로8번길 10 (가좌동),032-666-2922,032-665-2922,2021-06-30,,
58,(주)경인양행,염료,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업","인천광역시 서구 건지로 199 (석남동, (주)경인양행인천공장A동) 외 4필지",032-571-7498,032-571-7497,2021-06-30,,
59,(주)경인텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 원창로89번길 14-13 (원창동),032-575-4340,032-578-8990,2021-06-30,,
60,(주)경인펄프,압축파지,비금속류 원료 재생업,인천광역시 서구 장고개로117번길 38 (가좌동) 외 2필지,032-577-2525,032-578-4433,2021-06-30,,
61,(주)경일다모스,사무용가구,기타 목재가구 제조업 외 1 종,인천광역시 서구 두루물로 90 (오류동),032-562-5501,032-562-6367,2021-06-30,,
62,(주)경중기업,가방부속품,도금업 외 1 종,"인천광역시 서구 가람로 14, 8층 인천표면처리센터 코아텍 805호 (오류동)",031-569-2439,031-557-0106,2021-06-30,,
63,(주)경진실업,판지제품 및 기타 종이박스,골판지 제조업 외 1 종,인천광역시 서구 이든로 10 (오류동),032-565-2733,032-565-2734,2021-06-30,,
64,(주)고려계전,수배전반,배전반 및 전기 자동제어반 제조업,인천광역시 서구 보도진로 100-60 (가좌동),032-584-4540,032-584-4543,2021-06-30,,
65,(주)고려다이캐스팅기계,다이캐스팅 및 일반산업기계 제작,금속 주조 및 기타 야금용 기계 제조업,인천광역시 서구 보도진로30번길 16 (가좌동),032-572-6311,032-572-6310,2021-06-30,,
66,(주)고려일렉트릭,"금형,프레스가공",주형 및 금형 제조업 외 1 종,인천광역시 서구 가정로67번길 20 (가좌동) 외 1필지,032-579-8177,032-579-8179,2021-06-30,,
67,(주)고려차량,철도차량부품,철도차량 부품 및 관련 장치물 제조업 외 1 종,"인천광역시 서구 건지로284번길 113, D동 104호 (가좌동)",051-898-3111,051-898-3115,2021-06-30,,
68,(주)고려특수베어링,"볼베어링,  원추롤러베어링, 구름베어링 등",구름베어링 제조업,인천광역시 서구 도담로 22 (오류동),032-567-3836,032-567-4433,2021-06-30,,
69,(주)고리아,"방충,방풍비닐.PVC매트",기타 직물제품 제조업,인천광역시 서구 건지로 215 (석남동),070-4254-3322,032-575-5480,2021-06-30,,
70,(주)고뫄스방수 (인천지점),방수재,그 외 기타 분류 안된 화학제품 제조업,인천광역시 서구 도담로 132 (오류동),032-563-1473,02-790-7717,2021-06-30,,
71,(주)고현중전기,기어 및 동력전달장치,기어 및 동력전달장치 제조업,인천광역시 서구 가정로38번길 1 (가좌동),032-773-4732,032-773-4734,2021-06-30,,
72,(주)골드시스템,포장기계,"용기 세척, 포장 및 충전기 제조업","인천광역시 서구 도담로 42, 4동 (오류동)",032-583-5896,032-583-5898,2021-06-30,,
73,(주)공공스토리사업단,"안내판, 간판",표면 가공 목재 및 특정 목적용 제재목 제조업,"인천광역시 서구 마중로 109, C동 (오류동)",032-673-1458,032-673-1459,2021-06-30,?,
74,(주)공동구매북,유아동도서,제책업,"인천광역시 서구 가남로 61, A동 1층 113 (가좌동, 토지산업2차 지식산업센터)",070-4070-4874,032-428-0945,2021-06-30,?,
75,(주)광덕산업,엘리베이터부품,승강기 제조업,인천광역시 서구 봉수대로277번길 5 (석남동) 외 5필지,032-579-9061,032-579-9066,2021-06-30,m - 주소수정,
76,(주)광덕종합목재,운반용 목재 파렌트,목재 깔판류 및 기타 적재판 제조업 외 1 종,인천광역시 서구 원당대로265번길 46 (오류동),032-568-6886,032-568-6882,2021-06-30,,
77,(주)광명특수금속,"금속가공,철도차량부품",그 외 기타 금속가공업 외 1 종,인천광역시 서구 원당대로157번길 5 (오류동),032-812-9376,032-817-1876,2021-06-30,,
78,(주)광성공사,"간판,광고물",간판 및 광고물 제조업,"인천광역시 서구 서곶로 332,1층 (심곡동)",032-565-2277,032-564-2359,2021-06-30,,
79,(주)광신정밀,"함마비트,착암기호환성공구",건설 및 채광용 기계장비 제조업,인천광역시 서구 북항로193번길 50 (원창동),032-815-3877,032-815-3879,2021-06-30,,
80,(주)광일체어,"사무용의자, 목재가구",소파 및 기타 내장가구 제조업 외 1 종,"인천광역시 서구 건지로109번길 21 (석남동, 광일체어(주)) 외 1필지",032-576-5361,032-575-5783,2021-06-30,,b:81~82 - 상호명중복
81,(주)광일체어,의자부속부품,그 외 기타 가구 제조업 외 1 종,인천광역시 서구 봉수대로300번길 14 (석남동),032-576-5361,032-575-5783,2021-06-30,m - 삼정퍼니텍,
82,(주)광진산업,금속압형제품,자동차용 금속 압형제품 제조업 외 1 종,인천광역시 서구 보도진로54번길 10 (가좌동),032-584-6601,032-584-6603,2021-06-30,m - 상호명 수정,
83,(주)광진실업,"부직포, 이불솜, 이불",부직포 및 펠트 제조업 외 2 종,인천광역시 서구 가정로58번길 3 (가좌동) 외 1필지,032-582-4147,032-582-4100,2021-06-30,,
84,(주)광휘,코팅합판,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 봉수대로162번길 11 (가좌동),032-572-4615,032-572-4605,2021-06-30,,
85,(주)광희,보일러,선철주물 주조업,"인천광역시 서구 원전로59번길 1 (경서동, C동)",032-561-8997,032-561-4719,2021-06-30,,
86,(주)광희보일러,보일러,산업용 난방보일러 및 방열기 제조업 외 1 종,"인천광역시 서구 원전로59번길 1 (경서동, C동)",02-2236-1500,02-2233-0445,2021-06-30,,
87,(주)교동,목재품가공,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 오류동 0 번지 검단일반산업단지 5-1,032-564-7700,032-565-3232,2021-06-30,?,
88,(주)구스통,모바일 응용소프트웨어,응용 소프트웨어 개발 및 공급업,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 821호 (오류동)",1566-9417,,2021-06-30,,전화번호 형식
89,(주)구영에스피,"인테리어 제품, 철도부품, 특수차량개조",간판 및 광고물 제조업 외 3 종,인천광역시 서구 봉수대로300번길 24 (석남동),032-576-8711,032-576-8714,2021-06-30,,
90,(주)구일특수목재,표면가공목재,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 북항로193번길 12 (원창동),032-582-0964,032-714-3440,2021-06-30,,
91,(주)국보마스크,마스크,기타 직물제품 제조업,"인천광역시 서구 중봉대로 240 (석남동) 1동,2동 1층",032-710-5720,032-710-5820,2021-06-30,,
92,(주)국제씨푸드,냉동수산가공품,수산동물 냉동품 제조업,"인천광역시 서구 봉수대로1532번길 12, 다동 2호 (금곡동)",032-561-4570,032-561-4571,2021-06-30,,
93,(주)규림테크,승강기부품,승강기 제조업,인천광역시 서구 정서진5로 16 (오류동),032-561-4806,032-565-6069,2021-06-30,,
94,(주)그라미,"건축내장재, 가구판넬,틱지싱핀","목재 보존, 방부처리, 도장 및 유사 처리업 외 2 종","인천광역시 서구 건지로153번길 26-3 (석남동, 나동)",032-583-2096,032-583-2098,2021-06-30,,
95,(주)그래코리아,수성 페인트 등,일반용 도료 및 관련제품 제조업 외 1 종,인천광역시 서구 정서진로 410,032-715-7413,032-715-7414,2021-06-30,m - 주소수정,
96,(주)그로피아,"금속가공품,금형",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,인천광역시 서구 마중4로 10 (오류동),032-814-9785,032-814-9786,2021-06-30,,
97,(주)그루비코스메틱,화장품,화장품 제조업,인천광역시 서구 봉수대로501번길 19 (가좌동),032-572-3666,032-576-3666,2021-06-30,m - 주소수정,
98,(주)그린리소스,"고순도 희토류 금속산화물, 반도체&디스플레이용 세라믹 보호코팅",기타 기초 무기 화학물질 제조업 외 1 종,인천광역시 서구 가정로37번길 39 (가좌동),032-572-6939,032-572-6940,2021-06-30,,
99,(주)그린엔텍,은,"기타 비철금속 제련, 정련 및 합금 제조업",인천광역시 서구 건지로109번길 54 (석남동),032-571-7111,032-575-3043,2021-06-30,,
100,(주)그린엠지,마스크,기타 직물제품 제조업,인천광역시 서구 북항로45번길 77 A동 2층 (석남동),032-577-0029,032-577-0038,2021-06-30,m - 주소수정,
101,(주)그린웰,"해수담수화장치,정수처리장치",액체 여과기 제조업,인천광역시 서구 북항로193번길 90 (원창동),070-7784-1300,032-575-9366,2021-06-30,,
102,(주)그린전자,PCB,인쇄회로기판용 적층판 제조업 외 2 종,"인천광역시 서구 백범로 681, 스마트테크노타워 415호, 416호 (가좌동)",032-582-9939,032-583-9939,2021-06-30,?,
103,(주)그린텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 가정로77번길 20 (가좌동),032-572-6063,032-572-6064,2021-06-30,,
104,(주)그린팩,포장기계,"용기 세척, 포장 및 충전기 제조업",인천광역시 서구 보도진로30번길 16-1 (가좌동),032-513-4006,032-573-5922,2021-06-30,,
105,(주)극동이씨티,"액상소석회, 마이크로웨이브 건조기",석회 및 플라스터 제조업 외 4 종,인천광역시 서구 건지로250번길 76 (가좌동),032-578-2175,032-572-4120,2021-06-30,,
106,(주)극동정영반즈,산업용노,"산업용 오븐, 노 및 노용 버너 제조업 외 1 종","인천광역시 서구 사렴로10번길 30 (경서동, 4동)",032-561-3330,032-561-0363,2021-06-30,,
107,(주)극동주공,주물버너,선철주물 주조업,"인천광역시 서구 사렴로10번길 30 (경서동, 4동)",032-561-4121,032-561-4124,2021-06-30,,
108,(주)근우,동부스바(Busbar),도금업,"인천광역시 서구 가람로 14, 1동 8층 830호(오류동, 인천표면처리센터 요진코아텍)",02-583-7188,02-583-7197,2021-06-30,,
109,(주)글로벌이앤피,플랩댐퍼,"물질 검사, 측정 및 분석기구 제조업",인천광역시 서구 보도진로18번길 16 (가좌동),02-2214-7613,02-2214-7614,2021-06-30,,
110,(주)글로벌푸드,만능소스,천연 및 혼합조제 조미료 제조업,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 830호 (오류동)",070-4610-6532,070-8610-6532,2021-06-30,,
111,(주)금강도금,가구레일,도금업 외 1 종,"인천광역시 서구 가람로 14, 2층 인천표면처리센터 코아텍 223호 (오류동)",032-578-0426,032-578-0429,2021-06-30,,
112,(주)금강알앤에이,쇄석,비금속광물 분쇄물 생산업,"인천광역시 서구 봉수대로 272 (석남동, 진보자원개발(주) 1동) 외 1필지",032-584-8453,032-584-8454,2021-06-30,,
113,(주)금강자동차,"개조승용차,개조화물차,특장차,트레일러",차체 및 특장차 제조업 외 5 종,"인천광역시 서구 북항로 28-46, A동 1층 (원창동)",032-574-8312,032-577-8302,2021-06-30,,
114,(주)금강테크원,표면처리기계,그 외 기타 특수목적용 기계 제조업,인천광역시 서구 보도진로 100-33 (가좌동),032-571-8191,032-577-8663,2021-06-30,,
115,(주)금강특장차,"개조승용차,개조화물차,특장차,트레일러,구조변경",차체 및 특장차 제조업 외 6 종,인천광역시 서구 북항로 28-46 (원창동),032-574-8312,032-574-8302,2021-06-30,,
116,(주)금문,"금속문,창,셔텨","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종","인천광역시 서구 봉수대로 174 (가좌동, 1동)",032-584-9025,032-584-9024,2021-06-30,,
117,(주)금상화학,화학제품,기타 기초 무기 화학물질 제조업 외 1 종,인천광역시 서구 건지로153번길 46-11 (석남동),032-577-4118,032-577-4119,2021-06-30,,
118,(주)금진팀버이앤씨,각재,표면 가공 목재 및 특정 목적용 제재목 제조업 외 2 종,인천광역시 서구 중봉대로 146 (가좌동),032-584-8851,032-584-8852,2021-06-30,,
119,(주)금해,금속표면처리(연마),그 외 기타 금속가공업,"인천광역시 서구 가재울로32번길 28 (가좌동, (주)대기정밀)",032-574-0977,032-572-1288,2021-06-30,,
120,(주)금호글로벌,"금메달, 견장, 훈장, 기념패, 뱃지, 금속표지판",그 외 기타 분류 안된 금속 가공 제품 제조업 외 8 종,인천광역시 서구 중봉대로376번길 25-1 (원창동),032-571-2370,032-578-2370,2021-06-30,,
121,(주)금호테크,전자부품,주형 및 금형 제조업 외 1 종,인천광역시 서구 가재울로 112 (가좌동),032-573-4605,032-573-4606,2021-06-30,,
122,(주)기린푸드시스템,"돈까스,생선까스",육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"인천광역시 서구 장고개로238번길 33-1 (가좌동, (주)기린푸드시스템 1동) 외 3필지",032-584-7979,032-584-8282,2021-06-30,,
123,(주)기성산업기계,벨트컨베이어,컨베이어장치 제조업,인천광역시 서구 북항로193번길 26 (원창동) 외 1필지,032-818-0588,032-818-0590,2021-06-30,,
124,(주)기성텍스,사무용 원단,편조원단 제조업,인천광역시 서구 신동길 39 (금곡동),032-567-5880,032-567-5886,2021-06-30,,
125,(주)기정,"플라스틱제품, 금속도포 플라스틱 필름",플라스틱 접착처리 제품 제조업 외 2 종,인천광역시 서구 가좌로11번길 6 (가좌동),032-584-5577,032-584-5577,2021-06-30,,
126,(주)기현몰드테크,"금형, 플라스틱 사출품",주형 및 금형 제조업 외 2 종,인천광역시 서구 로봇랜드로249번길 62-26 (청라동),032-565-9139,032-564-9431,2021-06-30,,
127,(주)기현몰드테크,금형,주형 및 금형 제조업,"인천광역시 서구 보듬로 158, B2층 검단지식산업센터 블루텍 B251호 (오류동)",032-565-9139,032-564-9431,2021-06-30,,
128,(주)긴키테크코리아,"금속제 창, 문, 셔터등","금속 문, 창, 셔터 및 관련제품 제조업",인천광역시 서구 도담로 57 (오류동) 외 1필지,02-3158-5765,02-3158-5766,2021-06-30,,
129,(주)나경엔터프라이즈,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 석남로 25 (석남동, E동)",032-571-5241,032-572-5243,2021-06-30,,
130,(주)나노스,집진기,기체 여과기 제조업,인천광역시 서구 북항로193번길 39 (원창동),032-279-0302,032-232-3366,2021-06-30,,
131,(주)나노텍,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 봉수대로501번길 57-1 (원창동),032-575-0640,032-574-4183,2021-06-30,,
132,(주)나라이엔씨,"방송장비, 비디오 및 기타영상기기, 전시 및 광고용 조명장치",방송장비 제조업 외 2 종,인천광역시 서구 심곡로113번길 7 (심곡동) 1층,032-567-3599,032-567-3597,2021-06-30,,
133,(주)나산건업,창호플라스틱,플라스틱 창호 제조업,"인천광역시 서구 봉수대로277번길 12 (석남동, (주)나산건업)",032-572-6069,032-573-0419,2021-06-30,,
134,(주)나스필코리아,LED조명 등기구,일반용 전기 조명장치 제조업,인천광역시 서구 장고개로231번안길 5 (가좌동),ARS-1644-9338,032-575-9338,2021-06-30,,
135,(주)나인라이팅,조명기구,일반용 전기 조명장치 제조업,인천광역시 서구 검단로326번길 37-9 (왕길동),070-7543-3045,070-7543-3046,2021-06-30,,
136,(주)나인트,LED거울,기타 판유리 가공품 제조업,인천광역시 서구 도담7로 8 (오류동),,032-715-8029,2021-06-30,,
137,(주)남강엔지니어링,감속기,기어 및 동력전달장치 제조업,인천광역시 서구 봉수대로183번길 22 (가좌동),032-584-0671,032-584-0675,2021-06-30,,
138,(주)남도애꽃,"수산물 냉동식품, 냉장식품","수산동물 훈제, 조리 및 유사 조제식품 제조업 외 3 종",인천광역시 서구 검단로93번길 27 (오류동),032-563-7965,032-563-7969,2021-06-30,,
139,(주)남도애꽃,"견과류멸치볶음, 들기름무나물볶음, 장조림",기타 과실ㆍ채소 가공 및 저장 처리업 외 4 종,인천광역시 서구 보듬로 158 (오류동) 블루텍 공존동 626호,032-563-7965,032-563-7969,2021-06-30,,
140,(주)남동금속,화장품케이스,도금업 외 1 종,"인천광역시 서구 가람로 14, 2층 인천표면처리센터 코아텍 201호 (오류동)",032-817-3794,032-817-3795,2021-06-30,,
141,(주)남동금속,철제선반,그 외 기타 금속가공업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 2층 202호,,,2021-06-30,,
142,(주)남동테크,철제선반,그 외 기타 금속가공업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 2층 202호,,,2021-06-30,,
143,(주)너울씨푸드,"연어, 새우, 고등어 등",수산동물 건조 및 염장품 제조업,인천광역시 서구 금곡동 0-0번지 I-Food Park 9블럭 8-1롯트,02-2254-7196,,2021-06-30,,
144,(주)네오코,"전기오븐기,금속위생용품",금속 캔 및 기타 포장용기 제조업 외 9 종,인천광역시 서구 북항로193번길 44 (원창동),032-571-4111,032-572-0111,2021-06-30,,
145,(주)네일에이스,"네일버퍼, 하일",그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,인천광역시 서구 봉수대로183번길 14 (가좌동),032-572-4141,032-572-4143,2021-06-30,,
146,(주)노아엑츄에이션,"자동제어장치, 수문밸브, 수문권양기, 마스크",배전반 및 전기 자동제어반 제조업 외 3 종,인천광역시 서구 정서진9로 11 (오류동),032-680-3400,032-673-4266,2021-06-30,,
147,(주)농업회사법인 정푸드,계육가공품,가금류 가공 및 저장 처리업,인천광역시 서구 금곡동 1번지 I-Food Park 9가구 6획지,032-563-6261,032-566-6251,2021-06-30,,
148,(주)농우,"육개장, 설렁탕, 뚝배기불고기",도시락류 제조업 외 3 종,인천광역시 서구 봉수대로182번길 29 (가좌동),032-766-0990,032-766-0880,2021-06-30,,
